Unnamed: 0,id,start_x,start_y,minute,blocked_x,blocked_y,shot_outcome,player,is_own_goal,match_id,date,area,from_throw_in,shot_type,from_corner,from_freekick,from_open_play,from_fastbreak,from_penalty,from_setpiece,from_cross_open_play,shot_on_post,angulo_de_tiro,distancia_de_tiro
18521,1950464362.0,2.6,46.2,5.0,,,Goal,Lucas Licht,1.0,,,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.0089441926552494,97.47409912381852
25135,1986739091.0,9.5,47.0,31.0,,,Goal,Paulo Ferrari,1.0,,,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.030412505285206,90.54971010445036
23942,2009646769.0,6.5,48.5,8.0,,,Goal,Matías Caruzzo,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0199796652029807,93.5120313114842
10492,2013766028.0,4.0,46.8,49.0,,,Goal,Renzo Vera,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0133517271346818,96.05331852674324
26549,2029101611.0,9.0,45.8,94.0,,,Goal,Sebastián Olivarez,1.0,,,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.030416742716285,91.09687151598564
10110,2034062838.0,10.5,30.7,35.0,,,Goal,Érik Godoy,1.0,,,Outside of the box,False,Foot,False,False,False,True,False,False,False,False,0.0738161003999553,91.557304460103
1380,2043805712.0,5.7,55.0,87.0,,,Goal,Claudio Pérez,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0137056812066418,94.43246263864984
15149,2050304373.0,1.6,50.9,61.0,,,Goal,Ignacio Canuto,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0045395487444365,98.40411576758363
29559,2056485009.0,0.6000000000000001,46.6,25.0,,,Goal,Nicolás Navarro,1.0,,,Outside of the box,False,Other,False,False,False,False,False,True,False,False,0.0020347205428439,99.45813189478274
28609,2081818481.0,1.4,48.9,39.0,,,Goal,Federico Mancinelli,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0043062639273405,98.6061357117294
28933,2115288830.0,20.5,63.3,51.0,,,Goal,Ignacio Fernández,1.0,,,Outside of the box,False,Head,False,False,False,False,False,True,False,False,0.0339852535588783,80.60483856444351
27527,2126609141.0,5.9,51.9,94.0,,,Goal,Emanuel Olivera,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0159056978923982,94.11917976693168
19548,2134754411.0,2.0,53.0,66.0,,,Goal,Iván Gómez,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0052292625898298,98.04590761474952
35878,2153583137.0,7.1,58.1,32.0,,,Goal,Jonathan Schunke,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0152281577069982,93.25245305084474
36496,2158126305.0,1.4,49.5,88.0,,,Goal,Fernando Torrent,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0042020170472165,98.60126774032877
36509,2158544511.0,6.7,26.6,29.0,,,Goal,Marcelo Ortiz,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.066263319359742,96.18965640857648
36714,2158745651.0,7.2,48.3,56.0,,,Goal,Nahuel Tenaglia,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0222218024107537,92.81556981455212
36931,2161396343.0,7.7,28.3,81.0,,,Goal,Lucas Martínez Quarta,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0664643554594606,94.81655973510112
37164,2162534327.0,8.1,52.1,1.0,,,Goal,Tomás Cardona,1.0,,,Outside of the box,False,Foot,False,False,False,False,False,True,False,False,0.0214278906066004,91.92399033984546
37427,2164357851.0,2.1,48.2,61.0,,,Goal,Juan Bolado,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0066422144140747,97.91654609921656
38220,2169204375.0,1.6,46.0,64.0,,,Goal,Diego Rodríguez,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0055634035827572,98.48126725423472
38445,2170465909.0,3.9,58.7,79.0,,,Goal,Eugenio Mena,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0082805833412,96.49300492781848
38489,2170945671.0,2.9,50.7,21.0,,,Goal,Gabriel Díaz,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0082742074256737,97.1025231392058
38579,2171445955.0,7.7,49.7,57.0,,,Goal,Guillermo Ortíz,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0223986181237585,92.30048753934076
38757,2178502879.0,0.5,50.2,87.0,,,Goal,Antony Silva,1.0,,,Outside of the box,False,Other,False,False,False,False,False,True,False,False,0.0014599727054896,99.5002010048221
38925,2180724721.0,1.7,46.0,6.0,,,Goal,Luis Unsain,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0059101820023744,98.38134985859872
